feature,R,I,A,S,E,C
Tính cách,1,10,19,30,39,48
Trí năng,2,11,20,32,38,46
Khả năng,3,14,26,28,41,51
Nhu cầu 1,7,15,21,29,43,50
Nhu cầu 2,9,17,27,34,44,54
