1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,R,I,A,S,E,C,Class
3,3,1,2,2,3,1,3,0,1,2,2,1,1,1,2,2,3,4,3,2,0,0,0,1,2,1,3,1,4,2,4,4,3,4,3,4,1,0,1,0,1,1,3,3,2,4,3,2,2,1,1,4,4,18,15,13,28,14,23,S
1,4,4,3,0,4,4,2,0,3,2,2,3,1,0,4,0,2,4,2,4,1,0,4,1,1,0,4,4,4,1,2,0,4,4,4,4,1,1,0,0,2,0,0,0,1,0,4,0,0,3,0,0,0,22,17,17,27,8,8,S
2,2,1,2,1,3,1,3,3,2,1,1,3,1,2,1,0,1,2,2,3,0,0,0,0,1,3,3,1,2,0,2,3,2,3,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,2,2,2,18,12,11,17,1,11,R
3,4,3,3,0,1,1,2,1,3,4,4,2,4,4,4,4,4,3,4,4,4,2,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,2,3,4,3,3,18,33,31,35,35,28,S
2,2,1,3,2,4,1,3,2,3,3,3,4,3,4,2,4,3,4,3,4,1,2,0,1,4,2,3,2,3,3,3,2,4,4,2,3,2,1,1,3,2,1,1,4,3,3,3,2,4,2,3,2,4,20,29,21,26,18,26,I
3,3,2,2,1,2,1,2,2,3,2,2,1,2,1,2,2,2,3,3,4,2,3,3,2,3,2,3,2,2,3,3,3,2,4,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,3,18,17,25,24,14,16,A
3,3,3,2,0,3,1,2,3,0,2,2,1,2,1,2,2,2,0,0,0,1,0,0,2,0,2,2,2,2,0,2,0,2,2,2,2,2,3,2,1,3,1,3,3,3,2,2,0,0,3,3,1,0,20,14,5,14,20,14,R
2,2,3,1,1,3,0,1,0,2,2,2,3,3,3,2,2,2,1,1,3,1,1,1,1,2,3,3,3,3,3,3,2,2,3,3,1,1,1,1,1,2,0,3,3,2,1,2,1,1,2,3,1,3,13,21,14,25,13,16,S
2,2,4,3,0,2,0,1,1,1,2,2,1,1,1,2,1,2,4,4,4,1,0,0,2,2,2,1,2,4,0,2,2,2,2,2,1,2,2,1,1,2,0,2,2,2,4,4,4,4,2,3,2,4,15,13,19,17,13,29,C
4,3,2,3,0,2,0,4,2,2,1,1,3,1,0,1,0,1,2,3,4,3,1,1,2,2,4,4,4,4,2,2,2,3,4,2,3,2,2,2,2,1,1,0,2,0,3,3,0,0,0,0,0,0,20,10,22,27,15,6,S
3,4,3,2,0,3,0,2,2,3,3,3,2,3,2,2,1,2,1,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,1,1,1,2,3,3,2,2,3,3,2,3,19,21,17,26,16,23,S
4,3,4,2,0,1,2,4,3,3,4,4,0,4,4,3,2,4,4,4,4,4,0,1,3,3,4,4,4,3,4,4,2,2,3,4,3,3,4,4,4,2,3,4,4,3,2,3,0,0,1,1,1,0,23,28,27,30,31,11,E
4,3,3,3,3,3,3,4,2,3,2,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,28,24,25,29,28,26,S
4,3,1,2,3,4,2,4,1,1,1,2,1,1,2,1,0,1,2,2,3,0,2,0,1,1,1,3,3,4,1,4,2,3,4,1,2,2,1,0,1,1,3,2,2,1,2,1,1,0,1,1,0,0,24,10,12,25,14,7,S
3,2,3,3,1,3,1,2,3,3,2,2,2,3,3,3,2,3,3,2,3,1,1,1,2,2,2,3,3,3,2,3,1,2,3,2,2,2,3,2,3,2,2,1,2,2,2,3,1,2,2,3,3,3,21,23,17,22,19,21,I
4,4,4,3,3,4,2,4,4,3,3,3,2,3,2,3,2,2,4,4,4,2,1,3,2,2,4,4,3,4,4,4,4,4,4,4,1,2,2,2,3,3,3,2,4,4,3,3,2,1,3,3,2,3,32,23,26,35,22,24,S
1,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,21,27,26,22,25,27,I
4,3,3,2,2,4,1,3,3,2,2,2,2,3,3,2,2,2,4,3,2,2,1,1,2,2,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,20,19,19,18,18,R
4,3,3,3,1,1,0,2,1,2,3,3,1,3,3,3,2,3,3,3,3,2,1,1,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,18,23,20,24,25,17,E
2,2,3,0,0,0,2,4,4,2,1,1,0,0,0,2,0,2,4,3,4,2,4,4,2,2,2,4,4,4,0,4,4,2,4,0,0,2,4,2,2,2,2,4,4,2,2,3,2,0,1,2,0,0,17,8,27,26,22,12,A
3,4,3,3,3,4,2,3,2,3,3,4,3,4,4,3,3,3,2,3,2,4,2,3,3,4,2,3,4,4,3,3,3,3,3,3,2,4,3,3,4,3,3,3,4,3,4,4,3,3,3,4,4,3,27,30,25,29,29,31,C
2,4,2,2,0,2,0,2,1,3,2,2,0,2,2,1,1,2,3,4,4,4,2,0,2,2,2,2,2,4,1,4,0,0,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,15,15,23,14,7,0,A
4,3,2,3,2,3,1,2,0,2,2,2,1,2,3,3,1,2,3,2,2,3,3,2,3,2,1,2,2,2,3,3,1,2,2,3,2,2,2,3,3,1,2,1,2,2,3,2,3,2,1,2,3,2,20,18,21,20,18,20,A
